price,region,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
1400,reno / tahoe,apartment,900,2,1.0,1,1,0,0,0,0,laundry in bldg,na
1475,reno / tahoe,apartment,706,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage
950,reno / tahoe,apartment,500,1,1.0,1,0,1,0,0,0,laundry on site,na
1676,reno / tahoe,apartment,1256,3,2.0,1,1,0,0,0,0,w/d in unit,na
703,reno / tahoe,apartment,502,0,1.0,1,1,1,0,0,0,laundry in bldg,attached garage
1895,reno / tahoe,apartment,1193,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage
1850,reno / tahoe,apartment,1090,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage
1406,reno / tahoe,apartment,582,1,1.0,0,0,1,0,0,0,na,na
249,reno / tahoe,apartment,270,0,1.0,0,0,1,0,0,1,laundry on site,na
2107,reno / tahoe,apartment,1944,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage
1666,reno / tahoe,apartment,1142,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1797,reno / tahoe,apartment,1683,2,2.0,0,0,1,0,0,0,na,na
1095,reno / tahoe,apartment,777,2,1.0,1,0,0,0,0,0,laundry on site,off-street parking
1400,reno / tahoe,apartment,950,2,1.5,1,1,1,0,0,0,w/d in unit,na
1199,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport
1149,reno / tahoe,apartment,800,2,2.0,1,0,1,0,0,0,laundry on site,off-street parking
1025,reno / tahoe,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
929,reno / tahoe,apartment,450,0,1.0,1,1,1,0,0,0,laundry on site,carport
1633,reno / tahoe,apartment,674,1,1.0,1,1,1,0,0,0,w/d in unit,na
974,reno / tahoe,apartment,600,1,1.0,1,0,1,0,0,0,laundry on site,off-street parking
1497,reno / tahoe,apartment,1171,2,2.0,0,0,1,0,0,0,na,na
1394,reno / tahoe,apartment,767,1,1.0,1,1,1,1,0,0,w/d in unit,carport
1249,reno / tahoe,apartment,840,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
899,reno / tahoe,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
2195,reno / tahoe,apartment,1380,3,2.0,1,1,0,0,0,0,w/d in unit,na
1430,reno / tahoe,apartment,1037,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1995,reno / tahoe,house,2226,3,2.5,0,1,0,0,0,0,w/d in unit,attached garage
1202,reno / tahoe,apartment,700,1,1.0,1,1,1,0,0,0,na,carport
1950,reno / tahoe,house,1942,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
819,reno / tahoe,apartment,615,1,1.0,1,1,0,0,0,0,w/d in unit,no parking
1100,reno / tahoe,condo,823,2,1.0,0,0,0,0,0,0,na,off-street parking
1200,reno / tahoe,apartment,900,2,1.0,0,1,0,0,0,0,w/d in unit,detached garage
1700,reno / tahoe,house,1470,3,2.0,0,1,0,0,0,0,w/d in unit,attached garage
2395,reno / tahoe,house,2261,3,2.5,0,1,0,0,0,0,w/d hookups,attached garage
1600,reno / tahoe,condo,1127,2,2.0,0,1,0,0,0,0,w/d in unit,attached garage
1249,reno / tahoe,apartment,665,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1000,reno / tahoe,condo,1092,3,2.0,1,1,1,0,0,0,na,na
1440,reno / tahoe,apartment,1171,2,2.0,0,0,1,0,0,0,na,na
1025,reno / tahoe,manufactured,860,2,2.0,0,0,0,0,0,0,w/d hookups,off-street parking
1525,reno / tahoe,apartment,1007,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1001,reno / tahoe,apartment,850,2,2.0,1,1,1,1,0,0,laundry on site,carport
1125,reno / tahoe,apartment,748,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
1818,reno / tahoe,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1075,reno / tahoe,apartment,623,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
895,reno / tahoe,apartment,500,2,1.0,0,0,0,0,0,0,na,off-street parking
1538,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1250,reno / tahoe,house,1176,2,1.0,1,1,0,1,0,0,na,na
2450,sacramento,house,2050,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1522,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1481,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1225,reno / tahoe,apartment,1072,2,1.0,0,0,1,1,0,0,w/d in unit,attached garage
1230,reno / tahoe,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1000,sacramento,apartment,710,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
2100,reno / tahoe,condo,1500,3,2.0,0,0,0,0,0,1,w/d in unit,carport
2100,reno / tahoe,duplex,1305,3,2.0,0,1,0,0,0,1,w/d in unit,attached garage
285,reno / tahoe,apartment,450,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking
1900,reno / tahoe,house,1600,3,2.5,0,0,0,0,0,0,laundry on site,attached garage
1100,reno / tahoe,apartment,900,2,2.0,1,1,1,0,0,0,na,na
